Name,Formula
Abellaite,NaPb2(CO3)2(OH)
Abelloemringerite,Cu2Pb2Mn3+Mn4+3O11(OH)(H2O)2·H2O
Abelsonite,NiC31H32N4
Abenakiite-(Ce),Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O
Abernathyite,K(UO2)(AsO4)·3H2O
Abhurite,Sn2+21O6(OH)14Cl16
Abramovite,Pb2SnInBiS7
Abswurmbachite,Cu2+Mn3+6O8(SiO4)
Abuite,CaAl2(PO4)2F2
Acanthite,Ag2S
Acetamide,CH3CONH2
Achalaite,Fe2+TiNb2O8
Achávalite,FeSe
Achyrophanite,"(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5"
Acmonidesite,"(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8"
Actinolite,☐Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2
Acuminite,SrAlF4(OH)(H2O)
Adachiite,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)
Adamite,Zn2(AsO4)(OH)
Adamsite-(Y),NaY(CO3)2(H2O)3·3H2O
Adanite,Pb2(Te4+O3)(SO4)
Addibischoffite,Ca2Al6Al6O20
Adelite,CaMg(AsO4)(OH)
Admontite,Mg2[B6O7(OH)6]2·9H2O
Adolfpateraite,K(UO2)(SO4)(OH)(H2O)
Adranosite,(NH4)4NaAl2(SO4)4Cl(OH)2
Adranosite-(Fe),(NH4)4NaFe2(SO4)4Cl(OH)2
Adrianite,Ca12(Al4Mg3Si7)O32Cl6
Aegirine,NaFe3+Si2O6
Aegirine-augite,"(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6"
Aenigmatite,Na4[Fe2+10Ti2]O4[Si12O36]
Aerinite,"(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36  (OH)12(CO3)(H2O)12"
Aerugite,Ni8.5(AsO4)2As5+O8
Aeschynite-(Ce),Ce(TiNb)O6
Aeschynite-(Nd),Nd(TiNb)O6
Aeschynite-(Y),Y(TiNb)O6
Afghanite,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6"
Afmite,Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O
Afwillite,Ca3[SiO4][SiO2(OH)2](H2O)2
Agaite,Pb3Cu2+Te6+O5(OH)2(CO3)
Agakhanovite-(Y),YCa☐2KBe3Si12O30
Agardite-(Ce),CeCu2+6(AsO4)3(OH)6(H2O)3
Agardite-(La),LaCu2+6(AsO4)3(OH)6(H2O)3
Agardite-(Nd),NdCu2+6(AsO4)3(OH)6(H2O)3
Agardite-(Y),YCu2+6(AsO4)3(OH)6(H2O)3
Agmantinite,Ag2MnSnS4
Agrellite,NaCa2Si4O10F
Agricolaite,K4(UO2)(CO3)3
Agrinierite,K2Ca[(UO2)3O3(OH)2]2·5H2O
Aguilarite,Ag4SeS
Aheylite,Fe2+Al6(PO4)4(OH)8(H2O)4
Ahlfeldite,Ni(SeO3)(H2O)2
Ahrensite,SiFe2O4
Aikinite,CuPbBiS3
Aiolosite,Na2(Na2Bi)(SO4)3Cl
Airdite,Sr(V4+O)2(PO4)2(H2O)4
Ajoite,K3Cu2+20Al3Si29O76(OH)16·8H2O
Akaganeite,"(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O"
Akaogiite,TiO2
Akasakaite-(Ce),CaCe(Al2Mn2+)(Si2O7)(SiO4)O(OH)
Akasakaite-(La),CaLa(Al2Mn2+)(Si2O7)(SiO4)O(OH)
Akatoreite,Mn2+9Al2Si8O24(OH)8
Akdalaite,Al5O7(OH)
Åkermanite,Ca2MgSi2O7
Akhtenskite,MnO2
Akimotoite,MgSiO3
Aklimaite,Ca4[Si2O5(OH)2](OH)4(H2O)5
Akopovaite,Li2Al4(OH)12(CO3)(H2O)3
Akrochordite,MnMn2Mn2(AsO4)2(OH)4(H2O)4
Aksaite,MgB6O7(OH)6(H2O)2
Aktashite,Cu6Hg3As4S12
Alabandite,MnS
Alacránite,As8S9
Alamosite,PbSiO3
Alarsite,Al(AsO4)
